iter	Passed	Remaining
740	3956	1382
741	3961	1377
742	3966	1371
743	3971	1366
744	3976	1360
745	3981	1355
746	3985	1349
747	3990	1344
748	3995	1339
749	4001	1333
750	4006	1328
751	4011	1322
752	4016	1317
753	4021	1311
754	4026	1306
755	4030	1300
756	4035	1295
757	4040	1290
758	4045	1284
759	4050	1279
760	4056	1273
761	4061	1268
762	4066	1263
763	4071	1257
764	4076	1252
765	4081	1246
766	4085	1241
767	4090	1235
768	4095	1230
769	4100	1224
770	4105	1219
771	4110	1214
772	4115	1208
773	4121	1203
774	4126	1197
775	4131	1192
776	4135	1186
777	4140	1181
778	4145	1176
779	4150	1170
780	4156	1165
781	4161	1160
782	4166	1154
783	4171	1149
784	4176	1143
785	4181	1138
786	4186	1133
787	4191	1127
788	4196	1122
789	4201	1116
790	4206	1111
791	4211	1106
792	4216	1100
793	4222	1095
794	4227	1089
795	4232	1084
796	4237	1079
797	4242	1073
798	4247	1068
799	4253	1063
800	4259	1058
801	4264	1052
802	4269	1047
803	4274	1041
804	4279	1036
805	4284	1031
806	4289	1025
807	4293	1020
808	4298	1014
809	4303	1009
810	4308	1004
811	4313	998
812	4319	993
813	4324	988
814	4329	982
815	4335	977
816	4340	972
817	4345	966
818	4350	961
819	4355	956
820	4360	950
821	4365	945
822	4370	939
823	4375	934
824	4379	929
825	4384	923
826	4389	918
827	4394	912
828	4399	907
829	4404	902
830	4409	896
831	4414	891
832	4419	885
833	4424	880
834	4428	875
835	4433	869
836	4438	864
837	4443	859
838	4449	853
839	4454	848
840	4459	843
841	4464	837
842	4468	832
843	4473	826
844	4477	821
845	4482	816
846	4487	810
847	4492	805
848	4497	799
849	4503	794
850	4508	789
851	4513	783
852	4518	778
853	4523	773
854	4528	767
855	4533	762
856	4538	757
857	4544	752
858	4549	746
859	4553	741
860	4558	735
861	4563	730
862	4568	725
863	4574	719
864	4579	714
865	4584	709
866	4590	704
867	4595	698
868	4600	693
869	4604	688
870	4609	682
871	4614	677
872	4620	672
873	4625	666
874	4630	661
875	4635	656
876	4640	650
877	4645	645
878	4650	640
879	4656	634
880	4660	629
881	4665	624
882	4670	618
883	4675	613
884	4680	608
885	4685	602
886	4690	597
887	4695	592
888	4700	586
889	4705	581
890	4710	576
891	4715	570
892	4720	565
893	4724	560
894	4729	554
895	4734	549
896	4739	544
897	4745	538
898	4749	533
899	4754	528
900	4759	522
901	4764	517
902	4769	512
903	4774	507
904	4779	501
905	4785	496
906	4790	491
907	4795	485
908	4800	480
909	4805	475
910	4811	470
911	4816	464
912	4821	459
913	4827	454
914	4832	448
915	4837	443
916	4842	438
917	4848	433
918	4853	427
919	4858	422
920	4863	417
921	4868	411
922	4873	406
923	4878	401
924	4883	395
925	4887	390
926	4892	385
927	4897	379
928	4902	374
929	4908	369
930	4913	364
931	4918	358
932	4923	353
933	4928	348
934	4932	342
935	4937	337
936	4942	332
937	4947	327
938	4952	321
939	4956	316
940	4961	311
941	4966	305
942	4971	300
943	4976	295
944	4981	289
945	4986	284
946	4991	279
947	4996	274
948	5001	268
949	5007	263
950	5012	258
951	5017	252
952	5022	247
953	5027	242
954	5032	237
955	5037	231
956	5042	226
957	5047	221
958	5052	216
959	5057	210
960	5062	205
961	5066	200
962	5071	194
963	5076	189
964	5081	184
965	5086	179
966	5091	173
967	5096	168
968	5102	163
969	5107	157
970	5112	152
971	5117	147
972	5122	142
973	5126	136
974	5131	131
975	5137	126
976	5141	121
977	5146	115
978	5151	110
979	5157	105
980	5162	99
981	5167	94
982	5172	89
983	5177	84
984	5181	78
985	5186	73
986	5191	68
987	5196	63
988	5201	57
989	5206	52
990	5211	47
991	5216	42
992	5221	36
993	5226	31
994	5230	26
995	5236	21
996	5241	15
997	5246	10
998	5251	5
999	5256	0
